jogador,idade,nacionalidade,time,valor,posicao
L. Messi,31,Argentina,FC Barcelona,110.5,RF
Cristiano Ronaldo,33,Portugal,Juventus,77,ST
Neymar Jr,26,Brazil,Paris Saint-Germain,118.5,LW
De Gea,27,Spain,Manchester United,72,GK
K. De Bruyne,27,Belgium,Manchester City,102,RCM
E. Hazard,27,Belgium,Chelsea,93,LF
L. Modrić,32,Croatia,Real Madrid,67,RCM
L. Suárez,31,Uruguay,FC Barcelona,80,RS
Sergio Ramos,32,Spain,Real Madrid,51,RCB
J. Oblak,25,Slovenia,Atlético Madrid,68,GK
R. Lewandowski,29,Poland,FC Bayern München,77,ST
T. Kroos,28,Germany,Real Madrid,76.5,LCM
D. Godín,32,Uruguay,Atlético Madrid,44,CB
David Silva,32,Spain,Manchester City,60,LCM
N. Kanté,27,France,Chelsea,63,LDM
P. Dybala,24,Argentina,Juventus,89,LF
H. Kane,24,England,Tottenham Hotspur,83.5,ST
A. Griezmann,27,France,Atlético Madrid,78,CAM
M. ter Stegen,26,Germany,FC Barcelona,58,GK
T. Courtois,26,Belgium,Real Madrid,53.5,GK
Sergio Busquets,29,Spain,FC Barcelona,51.5,CDM
E. Cavani,31,Uruguay,Paris Saint-Germain,60,LS
M. Neuer,32,Germany,FC Bayern München,38,GK
S. Agüero,30,Argentina,Manchester City,64.5,ST
G. Chiellini,33,Italy,Juventus,27,LCB
K. Mbappé,19,France,Paris Saint-Germain,81,RM
M. Salah,26,Egypt,Liverpool,69.5,RM
Casemiro,26,Brazil,Real Madrid,59.5,CDM
J. Rodríguez,26,Colombia,FC Bayern München,69.5,LAM
L. Insigne,27,Italy,Napoli,62,LW
Isco,26,Spain,Real Madrid,73.5,LW
C. Eriksen,26,Denmark,Tottenham Hotspur,73.5,CAM
Coutinho,26,Brazil,FC Barcelona,69.5,LW
P. Aubameyang,29,Gabon,Arsenal,59,LM
M. Hummels,29,Germany,FC Bayern München,46,LCB
Marcelo,30,Brazil,Real Madrid,43,LB
G. Bale,28,Wales,Real Madrid,60,ST
H. Lloris,31,France,Tottenham Hotspur,36,GK
G. Higuaín,30,Argentina,Milan,57,LS
Thiago Silva,33,Brazil,Paris Saint-Germain,24,RCB
S. Handanovič,33,Slovenia,Inter,30,GK
G. Buffon,40,Italy,Paris Saint-Germain,4,GK
S. Umtiti,24,France,FC Barcelona,57,CB
M. Icardi,25,Argentina,Inter,64.5,ST
K. Koulibaly,27,Senegal,Napoli,51,LCB
P. Pogba,25,France,Manchester United,64,RDM
K. Navas,31,Costa Rica,Real Madrid,30.5,GK
R. Lukaku,25,Belgium,Manchester United,62.5,ST
C. Immobile,28,Italy,Lazio,52,ST
Jordi Alba,29,Spain,FC Barcelona,38,LB
D. Mertens,31,Belgium,Napoli,45,RF
J. Vertonghen,31,Belgium,Tottenham Hotspur,34,LCB
M. Hamšík,30,Slovakia,Napoli,46.5,LCM
I. Rakitić,30,Croatia,FC Barcelona,46.5,RCM
Piqué,31,Spain,FC Barcelona,34,RCB
L. Sané,22,Germany,Manchester City,61,LW
Bernardo Silva,23,Portugal,Manchester City,59.5,RW
Ederson,24,Brazil,Manchester City,41.5,GK
