uf,data,preco_medio,desvio_padrao
PIAUI,2004-05-09,2.099,0.07400000000000001
PIAUI,2004-05-16,2.099,0.073
PIAUI,2004-05-23,2.099,0.075
PIAUI,2004-05-30,2.097,0.07400000000000001
PIAUI,2004-06-06,2.12,0.038
PIAUI,2004-06-13,2.141,0.039
PIAUI,2004-06-20,2.212,0.042
PIAUI,2004-06-27,2.213,0.044
PIAUI,2004-07-04,2.211,0.037000000000000005
PIAUI,2004-07-11,2.206,0.043
PIAUI,2004-07-18,2.206,0.046
PIAUI,2004-07-25,2.2030000000000003,0.046
PIAUI,2004-08-01,2.2030000000000003,0.047
PIAUI,2004-08-08,2.208,0.048
PIAUI,2004-08-15,2.213,0.04
PIAUI,2004-08-22,2.208,0.048
PIAUI,2004-08-29,2.209,0.056
PIAUI,2004-09-05,2.204,0.048
PIAUI,2004-09-12,2.206,0.053
PIAUI,2004-09-19,2.21,0.058
PIAUI,2004-09-26,2.201,0.048
PIAUI,2004-10-03,2.197,0.043
PIAUI,2004-10-10,2.197,0.039
PIAUI,2004-10-17,2.242,0.062
PIAUI,2004-10-24,2.232,0.068
PIAUI,2004-10-31,2.225,0.073
PIAUI,2004-11-07,2.309,0.037000000000000005
PIAUI,2004-11-14,2.309,0.033
PIAUI,2004-11-21,2.316,0.032
PIAUI,2004-11-28,2.443,0.026
PIAUI,2004-12-05,2.439,0.033
PIAUI,2004-12-12,2.439,0.03
PIAUI,2004-12-19,2.442,0.027000000000000003
PIAUI,2004-12-26,2.439,0.028
PIAUI,2005-01-02,2.443,0.019
PIAUI,2005-01-09,2.438,0.025
PIAUI,2005-01-16,2.441,0.02
PIAUI,2005-01-23,2.439,0.023
PIAUI,2005-01-30,2.44,0.021
PIAUI,2005-02-06,2.442,0.034
PIAUI,2005-02-13,2.443,0.031
PIAUI,2005-02-20,2.44,0.038
PIAUI,2005-02-27,2.442,0.033
PIAUI,2005-03-06,2.404,0.06
PIAUI,2005-03-13,2.44,0.047
PIAUI,2005-03-20,2.442,0.035
PIAUI,2005-03-27,2.442,0.035
PIAUI,2005-04-03,2.44,0.036000000000000004
PIAUI,2005-04-10,2.443,0.039
PIAUI,2005-04-17,2.441,0.033
PIAUI,2005-04-24,2.44,0.036000000000000004
PIAUI,2005-05-01,2.439,0.037000000000000005
PIAUI,2005-05-08,2.44,0.036000000000000004
PIAUI,2005-05-15,2.44,0.036000000000000004
PIAUI,2005-05-22,2.44,0.035
PIAUI,2005-05-29,2.439,0.035
PIAUI,2005-06-05,2.3280000000000003,0.106
PIAUI,2005-06-12,2.274,0.145
PIAUI,2005-06-19,2.237,0.161
PIAUI,2005-06-26,2.421,0.043
PIAUI,2005-07-03,2.337,0.086
PIAUI,2005-07-10,2.334,0.08800000000000001
PIAUI,2005-07-17,2.332,0.085
PIAUI,2005-07-24,2.332,0.08800000000000001
PIAUI,2005-07-31,2.33,0.086
PIAUI,2005-08-07,2.329,0.08800000000000001
PIAUI,2005-08-28,2.29,0.099
PIAUI,2005-09-04,2.4,0.0
PIAUI,2005-09-11,2.464,0.175
PIAUI,2005-09-18,2.6010000000000004,0.093
PIAUI,2005-09-25,2.602,0.068
PIAUI,2005-10-02,2.604,0.063
PIAUI,2005-10-09,2.588,0.064
PIAUI,2005-10-16,2.55,0.108
PIAUI,2005-10-23,2.547,0.09
PIAUI,2005-10-30,2.497,0.114
PIAUI,2005-11-06,2.437,0.145
PIAUI,2005-11-13,2.445,0.135
PIAUI,2005-11-20,2.432,0.138
PIAUI,2005-11-27,2.43,0.14
PIAUI,2005-12-04,2.423,0.141
PIAUI,2005-12-11,2.426,0.138
PIAUI,2005-12-18,2.425,0.139
PIAUI,2005-12-25,2.424,0.13699999999999998
PIAUI,2006-01-01,2.424,0.14
PIAUI,2006-01-08,2.4130000000000003,0.14800000000000002
PIAUI,2006-01-15,2.414,0.159
PIAUI,2006-01-22,2.4130000000000003,0.156
PIAUI,2006-01-29,2.402,0.153
PIAUI,2006-02-05,2.647,0.085
PIAUI,2006-02-12,2.659,0.067
PIAUI,2006-02-19,2.659,0.061
PIAUI,2006-02-26,2.668,0.07
PIAUI,2006-03-05,2.673,0.063
PIAUI,2006-03-12,2.653,0.066
PIAUI,2006-03-19,2.623,0.078
PIAUI,2006-03-26,2.605,0.086
PIAUI,2006-04-02,2.551,0.116
PIAUI,2006-04-09,2.641,0.075
PIAUI,2006-04-16,2.651,0.065
PIAUI,2006-04-23,2.725,0.05
PIAUI,2006-04-30,2.719,0.056
PIAUI,2006-05-07,2.631,0.099
PIAUI,2006-05-14,2.55,0.138
PIAUI,2006-05-21,2.5340000000000003,0.142
PIAUI,2006-05-28,2.529,0.145
PIAUI,2006-06-04,2.516,0.153
PIAUI,2006-06-11,2.517,0.158
PIAUI,2006-06-18,2.496,0.149
PIAUI,2006-06-25,2.5,0.149
PIAUI,2006-07-02,2.489,0.138
PIAUI,2006-07-09,2.481,0.163
PIAUI,2006-07-16,2.467,0.165
PIAUI,2006-07-23,2.552,0.099
PIAUI,2006-07-30,2.591,0.078
PIAUI,2006-08-06,2.5610000000000004,0.101
PIAUI,2006-08-13,2.471,0.156
PIAUI,2006-08-20,2.467,0.16
PIAUI,2006-08-27,2.491,0.142
PIAUI,2006-09-03,2.506,0.127
PIAUI,2006-09-10,2.505,0.128
PIAUI,2006-09-17,2.507,0.131
PIAUI,2006-09-24,2.507,0.129
PIAUI,2006-10-01,2.492,0.14400000000000002
PIAUI,2006-10-08,2.458,0.166
PIAUI,2006-10-15,2.437,0.177
PIAUI,2006-10-22,2.434,0.187
PIAUI,2006-10-29,2.42,0.191
PIAUI,2006-11-05,2.42,0.195
PIAUI,2006-11-12,2.388,0.212
PIAUI,2006-11-19,2.395,0.21
PIAUI,2006-11-26,2.381,0.213
PIAUI,2006-12-03,2.395,0.209
PIAUI,2006-12-10,2.38,0.218
PIAUI,2006-12-17,2.382,0.214
PIAUI,2006-12-24,2.38,0.217
PIAUI,2006-12-31,2.366,0.224
PIAUI,2007-01-07,2.366,0.224
PIAUI,2007-01-14,2.387,0.21600000000000005
PIAUI,2007-01-21,2.377,0.215
PIAUI,2007-01-28,2.371,0.213
PIAUI,2007-02-04,2.372,0.214
PIAUI,2007-02-11,2.415,0.18
PIAUI,2007-02-18,2.411,0.18600000000000005
PIAUI,2007-02-25,2.499,0.128
PIAUI,2007-03-04,2.505,0.125
PIAUI,2007-03-11,2.505,0.123
PIAUI,2007-03-18,2.512,0.12
PIAUI,2007-03-25,2.511,0.122
PIAUI,2007-04-01,2.507,0.122
PIAUI,2007-04-08,2.594,0.07400000000000001
PIAUI,2007-04-15,2.6,0.07
PIAUI,2007-04-22,2.599,0.071
PIAUI,2007-04-29,2.6010000000000004,0.07
PIAUI,2007-05-06,2.6010000000000004,0.069
PIAUI,2007-05-13,2.6010000000000004,0.069
PIAUI,2007-05-20,2.599,0.073
PIAUI,2007-05-27,2.5980000000000003,0.073
PIAUI,2007-06-03,2.599,0.071
PIAUI,2007-06-10,2.5980000000000003,0.073
PIAUI,2007-06-17,2.614,0.073
PIAUI,2007-06-24,2.651,0.052000000000000005
PIAUI,2007-07-01,2.65,0.052000000000000005
PIAUI,2007-07-08,2.62,0.067
PIAUI,2007-07-15,2.602,0.073
PIAUI,2007-07-22,2.596,0.07400000000000001
PIAUI,2007-07-29,2.577,0.086
PIAUI,2007-08-05,2.662,0.055
PIAUI,2007-08-12,2.6660000000000004,0.058
PIAUI,2007-08-19,2.667,0.058
PIAUI,2007-08-26,2.5660000000000003,0.091
PIAUI,2007-09-02,2.5860000000000003,0.08199999999999999
PIAUI,2007-09-09,2.585,0.081
PIAUI,2007-09-16,2.588,0.078
PIAUI,2007-09-23,2.5580000000000003,0.095
PIAUI,2007-09-30,2.637,0.062
PIAUI,2007-10-07,2.63,0.063
PIAUI,2007-10-14,2.632,0.063
PIAUI,2007-10-21,2.631,0.062
PIAUI,2007-10-28,2.63,0.062
PIAUI,2007-11-04,2.627,0.062
PIAUI,2007-11-11,2.573,0.092
PIAUI,2007-11-18,2.545,0.114
PIAUI,2007-11-25,2.589,0.078
PIAUI,2007-12-02,2.59,0.078
PIAUI,2007-12-09,2.582,0.08
PIAUI,2007-12-16,2.582,0.078
PIAUI,2007-12-23,2.5780000000000003,0.079
PIAUI,2007-12-30,2.5810000000000004,0.078
PIAUI,2008-01-06,2.556,0.091
PIAUI,2008-01-13,2.587,0.083
PIAUI,2008-01-20,2.61,0.064
PIAUI,2008-01-27,2.604,0.07
PIAUI,2008-02-03,2.602,0.064
PIAUI,2008-02-10,2.603,0.068
PIAUI,2008-02-17,2.5980000000000003,0.067
PIAUI,2008-02-24,2.6010000000000004,0.07
PIAUI,2008-03-02,2.591,0.066
PIAUI,2008-03-09,2.6460000000000004,0.068
PIAUI,2008-03-16,2.659,0.05
PIAUI,2008-03-23,2.66,0.043
PIAUI,2008-03-30,2.6180000000000003,0.056
PIAUI,2008-04-06,2.564,0.075
PIAUI,2008-04-13,2.573,0.07200000000000001
PIAUI,2008-04-20,2.588,0.06
PIAUI,2008-04-27,2.5860000000000003,0.058
PIAUI,2008-05-04,2.589,0.058
PIAUI,2008-05-11,2.579,0.061
PIAUI,2008-05-18,2.577,0.063
PIAUI,2008-05-25,2.5610000000000004,0.07
PIAUI,2008-06-01,2.582,0.062
PIAUI,2008-06-08,2.523,0.087
PIAUI,2008-06-15,2.52,0.086
PIAUI,2008-06-22,2.57,0.07
PIAUI,2008-06-29,2.569,0.061
PIAUI,2008-07-06,2.559,0.07200000000000001
PIAUI,2008-07-13,2.539,0.08
PIAUI,2008-07-20,2.526,0.086
PIAUI,2008-07-27,2.517,0.094
PIAUI,2008-08-03,2.594,0.049
PIAUI,2008-08-10,2.59,0.052000000000000005
PIAUI,2008-08-17,2.6060000000000003,0.054000000000000006
PIAUI,2008-08-24,2.632,0.042
PIAUI,2008-08-31,2.647,0.035
PIAUI,2008-09-07,2.643,0.033
PIAUI,2008-09-14,2.622,0.05
PIAUI,2008-09-21,2.5980000000000003,0.055
PIAUI,2008-09-28,2.5980000000000003,0.062
PIAUI,2008-10-05,2.637,0.042
PIAUI,2008-10-12,2.617,0.052000000000000005
PIAUI,2008-10-19,2.612,0.045
PIAUI,2008-10-26,2.657,0.033
PIAUI,2008-11-02,2.659,0.027000000000000003
PIAUI,2008-11-09,2.658,0.027000000000000003
PIAUI,2008-11-16,2.659,0.027000000000000003
PIAUI,2008-11-23,2.658,0.033
PIAUI,2008-11-30,2.65,0.032
PIAUI,2008-12-07,2.637,0.04
PIAUI,2008-12-14,2.608,0.056
PIAUI,2008-12-21,2.591,0.061
PIAUI,2008-12-28,2.589,0.061
PIAUI,2009-01-04,2.5610000000000004,0.075
